JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,BlockSize,FileSize,RawCopyIn,Demux,ProcessJob,Merge,RawCopyOut,Job,,,,,
d15ab22b-429b-4979-86de-e78c5306981,j-3LP8J227W9SU,6,4,1,4194304,4640417,0,1,48,0,2,53,,,,,
d15ab22b-429b-4979-86de-e78c5306981,j-3LP8J227W9SU,6,4,2,8388608,183374462,6,7,89,3,10,118,,,,,
d15ab22b-429b-4979-86de-e78c5306981,j-3LP8J227W9SU,6,4,3,8388608,237292012,9,8,242,5,15,281,,,,,
d15ab22b-429b-4979-86de-e78c5306981,j-3LP8J227W9SU,6,4,4,8388608,364935418,14,12,243,8,27,306,,,,,
d15ab22b-429b-4979-86de-e78c5306981,j-3LP8J227W9SU,6,4,5,8388608,797857853,29,28,188,20,45,313,,,,,
d15ab22b-429b-4979-86de-e78c5306981,j-3LP8J227W9SU,6,4,6,16777216,1540035256,53,40,220,17,42,375,,,,,
d15ab22b-429b-4979-86de-e78c5306981,j-3LP8J227W9SU,6,4,7,16777216,6321118503,226,161,813,95,63,1362,,,,,
,,6,4,8,,,,,,,,,,,,,
7b8bdf3b-82bc-4ef1-a4a6-bbb5aff0504,j-3LP8J227W9SU,7,4,1,4194304,4640417,0,1,48,0,2,53,,,,,
7b8bdf3b-82bc-4ef1-a4a6-bbb5aff0504,j-3LP8J227W9SU,7,4,2,8388608,183374462,6,7,149,3,11,179,,,,,
7b8bdf3b-82bc-4ef1-a4a6-bbb5aff0504,j-3LP8J227W9SU,7,4,3,8388608,237292012,8,8,381,5,16,420,,,,,
7b8bdf3b-82bc-4ef1-a4a6-bbb5aff0504,j-3LP8J227W9SU,7,4,4,8388608,364935418,13,11,205,9,27,267,,,,,
7b8bdf3b-82bc-4ef1-a4a6-bbb5aff0504,j-3LP8J227W9SU,7,4,5,8388608,797857853,30,27,179,19,43,301,,,,,
7b8bdf3b-82bc-4ef1-a4a6-bbb5aff0504,j-3LP8J227W9SU,7,4,6,16777216,1540035256,54,40,186,16,41,339,,,,,
7b8bdf3b-82bc-4ef1-a4a6-bbb5aff0504,j-3LP8J227W9SU,7,4,7,16777216,6321118503,212,162,715,94,63,1249,,,,,
df8ec38c-f8d0-40d8-9914-9f660e8c212,j-19WOUSWNMFAK8,7,4,8,25165824,10514761914,373,328,2408,339,269,3722,,,,,
5156e74c-b646-4ff3-91f3-3168557a0f0,j-3LP8J227W9SU,8,4,1,4194304,4640417,0,1,48,0,2,53,,,,,
5156e74c-b646-4ff3-91f3-3168557a0f0,j-3LP8J227W9SU,8,4,2,8388608,183374462,6,7,470,4,11,499,,,,,
5156e74c-b646-4ff3-91f3-3168557a0f0,j-3LP8J227W9SU,8,4,3,8388608,237292012,8,8,608,5,17,648,,,,,
5156e74c-b646-4ff3-91f3-3168557a0f0,j-3LP8J227W9SU,8,4,4,8388608,364935418,13,11,251,9,25,311,,,,,
5156e74c-b646-4ff3-91f3-3168557a0f0,j-3LP8J227W9SU,8,4,5,8388608,797857853,28,29,151,20,40,271,,,,,
5156e74c-b646-4ff3-91f3-3168557a0f0,j-3LP8J227W9SU,8,4,6,16777216,1540035256,56,43,236,18,41,395,,,,,
5156e74c-b646-4ff3-91f3-3168557a0f0,j-3LP8J227W9SU,8,4,7,16777216,6321118503,216,175,625,95,67,1182,,,,,
,,8,4,8,,,,,,,,,,,,,
